Slug,Name,Scientific Name,Type,Min Litres,Min Length Cm,Group Min,Temperament,Zone,Difficulty,Note,Temp Min (°C),Temp Max (°C),pH Min,pH Max,gh Min (dGH),gh Max (dGH),Adult Size Min (cm),Adult Size Max (cm)
convict-cichlid,Convict cichlid,Amatitlania nigrofasciata,fish,120,90,1,aggressive,midwater / bottom,intermediate,Easy breeding produces intense territorial defence; community plans frequently fail around a pair.,23,28,6.5,8.0,8,25,10.0,15.0
firemouth-cichlid,Firemouth cichlid,Thorichthys meeki,fish,150,100,1,semi-aggressive,bottom / midwater,intermediate,Allow floor territory and visual barriers; threats intensify sharply during spawning.,23,28,6.5,8.0,8,25,12.0,17.0
kribensis,Kribensis,Pelvicachromis pulcher,fish,90,75,1,territorial when breeding,bottom / midwater,intermediate,"A bonded pair can defend a large cave territory, so peaceful behaviour outside spawning is not a guarantee of community safety.",24,27,5.0,8.0,2,20,8.0,10.0
jack-dempsey-cichlid,Jack Dempsey cichlid,Rocio octofasciata,fish,250,120,1,aggressive,midwater / bottom,advanced,"A large territorial cichlid requiring sturdy decor, space and equally robust companions.",23,28,6.5,8.0,8,25,18.0,25.0
green-terror-cichlid,Green terror cichlid,Andinoacara rivulatus,fish,300,150,1,aggressive,midwater / bottom,advanced,Adult males become large and forceful; generous footprint matters more than decorative tank volume.,22,28,6.5,8.0,8,25,20.0,30.0
rainbow-shark,Rainbow shark,Epalzeorhynchos frenatum,fish,150,120,1,territorial,bottom,intermediate,Keep one per normal aquarium and avoid similar-shaped bottom fish competing for the same space.,24,28,6.5,8.0,5,15,12.0,15.0
red-tail-shark,Red tail shark,Epalzeorhynchos bicolor,fish,200,120,1,territorial,bottom,advanced,This endangered-in-the-wild cyprinid becomes highly territorial as it matures.,23,27,6.5,8.0,5,15,12.0,15.0
bala-shark,Bala shark,Balantiocheilos melanopterus,fish,600,200,5,active,midwater,advanced,"A nervous, very large schooling fish unsuitable for all but exceptional home aquariums.",22,28,6.0,8.0,5,15,25.0,35.0
bichir,Senegal bichir,Polypterus senegalus,fish,300,120,1,predatory,bottom,advanced,A secure lid is essential; any tank mate that fits in its mouth should be considered prey.,24,28,6.0,8.0,5,20,25.0,35.0
pea-puffer,Pea puffer,Carinotetraodon travancoricus,fish,60,60,1,aggressive,all zones,advanced,Tiny size hides specialised feeding and territorial behaviour; species-focused setups are safest.,23,28,6.5,8.0,5,15,2.5,3.5
common-goldfish,Common goldfish,Carassius auratus,fish,300,150,2,social,all zones,intermediate,"A large, active cold-water fish with heavy waste production and a potential lifespan of decades.",16,24,6.5,8.5,8,25,25.0,35.0
fancy-goldfish,Fancy goldfish,Carassius auratus,group,150,100,2,social,all zones,intermediate,Rounded fancy varieties are slower and should not compete with streamlined common goldfish.,18,24,6.5,8.5,8,25,15.0,25.0
african-dwarf-frog,African dwarf frog,Hymenochirus boettgeri,amphibian,40,45,2,peaceful,bottom / surface,intermediate,A fully aquatic air-breather that feeds slowly; deep tanks and fast fish can prevent it reaching food.,22,27,6.5,7.8,5,15,4.0,6.0
axolotl,Axolotl,Ambystoma mexicanum,amphibian,110,90,1,predatory,bottom,advanced,"Cold water, low flow and species-only care prevent heat stress, gill damage and accidental ingestion.",15,20,6.5,8.0,7,18,20.0,30.0
cherry-shrimp,Cherry shrimp,Neocaridina davidi,invertebrate,20,30,6,peaceful,all surfaces,beginner,Mature biofilm and stable minerals support moulting; almost any fish may take shrimplets.,18,27,6.5,8.0,6,20,2.0,3.0
amano-shrimp,Amano shrimp,Caridina multidentata,invertebrate,30,45,4,peaceful,all surfaces,beginner,An effective grazer but not an algae solution; larvae require brackish development.,20,27,6.0,7.8,4,15,4.0,6.0
ghost-shrimp,Ghost shrimp,Palaemonetes paludosus,invertebrate,25,35,6,peaceful,bottom,intermediate,"The trade name covers several transparent shrimp, so correct identification matters.",18,27,6.5,8.0,5,20,3.0,5.0
nerite-snail,Nerite snail,Vittina natalensis,invertebrate,20,30,1,peaceful,all surfaces,beginner,Excellent hard-surface grazers that need minerals; white eggs may be laid but do not hatch in freshwater.,20,28,7.0,8.5,8,25,2.0,3.0
mystery-snail,Mystery snail,Pomacea diffusa,invertebrate,25,30,1,peaceful,all surfaces,beginner,Leave a safe air gap for egg laying and avoid copper exposure or shell-eroding soft acidic water.,20,28,7.0,8.4,8,25,4.0,6.0
assassin-snail,Assassin snail,Anentome helena,invertebrate,20,30,1,predatory,substrate,beginner,"A snail-eating species, so it is incompatible with ornamental snails the keeper wants to retain.",20,28,6.5,8.0,5,20,2.0,3.0
rabbit-snail,Rabbit snail,Tylomelania gemmifera,invertebrate,45,45,1,peaceful,bottom,intermediate,"Warm, alkaline water and a mature food supply support its slow growth and reproduction.",24,30,7.5,8.5,8,25,6.0,10.0
dwarf-mexican-crayfish,Dwarf Mexican crayfish,Cambarellus patzcuarensis,invertebrate,40,45,1,territorial,bottom,intermediate,Even dwarf crayfish can catch resting fish or shrimp; numerous hides reduce but do not remove risk.,18,26,6.5,8.0,6,20,4.0,5.0
bamboo-shrimp,Bamboo shrimp,Atyopsis moluccensis,invertebrate,75,60,1,peaceful,flow-facing perches,advanced,"Needs suspended microfoods delivered by clean, directed current and elevated feeding perches.",23,29,6.5,7.8,4,15,7.0,10.0
